あいさつ文例,
,まず己が変わり、家庭が変わり、会社が変わる。そういった体験を周りの人たちにお伝えしていき、倫理の仲間を増やし、地域が変え、日本を変えていく、私たちの倫理運動はそうした日本創生に繋がるものです。まずそれを一人一人が自覚し、まず会員の一人一人が実践目標を掲げ実践していこうではありませんか。日本創生も一人小さな実践からです。
,「明るいところに人は集まる」正に我々の日々営んでいるモーニングセミナーへ、一人でも多くの経営者の方々に参加いただき、良い刺激を受けながら経営者自らが変革し、「家庭が良くなり　会社も良くなり　地域も良くなる」というプラスのスパイラルを起こして、この静岡県の地域社会に希望を与え続けようではありませんか。
,技術の進展とともに人間社会は豊かで便利になってきたものの、人間関係においては何か冷淡で、人々は生きることに対して不誠実で、これから先の自身の人生の幸福は願うものの努力はせず、よって夢や希望は実現しないどころか描くことすら困難で、国民の多くが路頭に迷っている状況にあります。
,会員一人ひとりが「活動を行っている理由」について、それぞれの言葉で語り実践することが出来るのならば、この閉塞感にまみれた社会に大きなより良き変化を与えることが出来ると、強く信じます。
,物事がうまく進む時には、無意識に当たり前のことができています。しかし人にはそれぞれ習慣化された心癖（こころぐせ）があり、それが企業経営や人間関係に悪影響を及ぼすケースが多くあります。
,経営者は会社の規模に関係なく同じような悩みを抱えていますが、一人の人間としてどのように考え、何を持って行動したのかを多くの経営者から聞き、自己変革に結びつけられることが当会の大きな魅力です。
,多くの偉人や成功者は際限なく「与えること」に集中しています。価値を創造し、その価値を人々に提供してこそ、金銭をはじめあらゆる対価を受け取ることができるのです。これは万人幸福の栞の83ページに書かれている二宮尊徳先生の「たらいの水の例話」の通りであります。倫理法人会においては、お役を受けるとことが「与える人」になることの一つの例だと言えるでしょう。
,怖気づかないでください。どんなことでも最初の一歩は本当に小さなことです。勝ちっぱなしの人間が人の弱さや美しさを理解できるはずがありません。「成功したい」、「幸せになりたい」と思うならばまずは小さなことから始めましょう。そしてそれを無理なく継続していくことが肝要です。「継続は力なり」とは、まさに格言であります。忍耐強く諦めないで繰り返し、繰り返し行うこと。それによって自分の人生に輝きを増す内面が磨かれ満たされます。そうすると人は美しく変貌します。
,"何かを閃いたとき、即行動（アウトプット）に移す。そして理解する。この順番が大切なのです。現代社会では「理解してから、行動する」人が非常に多く、私はそれを「もっともらしいこと」と表現しています。「お為ごかしにもかかわらず、もっともらしく聞こえる」からです。
私の人生を振り返れば、大切なことのほとんどが「アウトプットありき」の連続でした。倫理法人会の活動の基本も同様であると確信しています。「やったことのない人には決してわからない」とも言えるでしょう。"
,"社長が変われば、会社が変わる。会社が変われば、地域が変わる。地域が変われば、社会が変わる。社会が変われば、時代が変わる。
大変革・大苦難の今この時代だからこそ、自らを変え「人間力」を高める必要があるのです。"
,"会社という組織は、社長一人が頑張っても動きません。
お客様と直接接している社員一人一人の協力がないと動きません。
社員を動かすのはテクニックでなく、経営者自身の“心”です。"
,大転換の時代に呼応して、純粋倫理をよりどころとした自己変革を志す挑戦者を増やし、「倫理共同体」をゆるぎないものにしつつ、地域及び日本の活力向上に資する諸事業を積極的に展開して、海外との連携を強める。
,普段聞くことの出来ない講師自らの成功・失敗談や人生観、多くの苦難を乗り越えてきた体験談などを通じて、経営者にとって大切な気づきと学びを得るとても有意義なセミナーとなっています。
,万人幸福の栞の中に「天の将に大任をこの人に降ろさんとするや、必ず、まずその心志を苦しめ、その筋骨を労す」天から与えられた試練だと信じ、朗らかに楽しくみんなで力を合わせ、よろこんで働かせていただきます。
,
,
純粋倫理について,
,実践の基本は｢明朗(ほがらか)｣｢愛和(なかよく)｣｢喜働(喜んで働く)｣であり､つきつめれば｢純情(すなおな心)｣になることです｡ 朝目が覚めたらサッと起きる､気づいたことはサッと処理する､誰にでも明るく挨拶する､後始末をきちんとするなど､身近な生活の中での実践により磨かれていきます｡
,実践とは“実際に行なう”こと｡倫理(純粋倫理)の本を読み､あるいは講話を聴いて納得したと感じることは気付きなのです。純粋倫理は、この気付きを実行に移すことを目的としています｡
,実践の基本は｢明朗(ほがらか)｣｢愛和(なかよく)｣｢喜働(喜んで働く)｣であり､つきつめれば｢純情(すなおな心)｣になることです｡ 朝目が覚めたらサッと起きる､気づいたことはサッと処理する､誰にでも明るく挨拶する､後始末をきちんとするなど､身近な生活の中での実践により磨かれていきます｡ 実践とは“実際に行なう”こと｡倫理(純粋倫理)の本を読み､あるいは講話を聴いて納得するだけでなく､心に響いたことを実行に移すのです｡ 倫理は､実践することによって変化を体感できます｡
,早朝にモーニングセミナーを行う理由:1日は、目が覚めたことに気付くことから始まります。もし、目が覚めなければ、それは永眠と言って死を意味します。目覚めは、生きている事の気付きであり、即起き上がって、行動を起こすことによって、気付きに磨きをかけようというのがモーニングセミナーです。その目的は大きく2つあります。1つ目は経営者にとって大切な気付きを得るため。2つ目は気付きを生かすための行動様式を身に付けることです。
,純粋倫理は、丸山敏雄(倫理研究所の創立者)により発見され、提唱されました。子供と親の目に見えないつながり、働くことの意味、肉体と精神の関係、捨てる極意、苦しみを幸福に転じる心の持ち方、どれも日常生活にピタリと結びついた暮らしの指針であり、自然の法則です。
,丸山敏雄、倫理運動創始者、1892（明治25）年5月5日、福岡県豊前市生まれ。広島高等師範学校を卒業し、師範学校などの教諭として奉職。37歳で広島文理科大学に入学。日本の精神文化、歴史を研究するとともに、書道や和歌など芸術分野でも研鑽を積む。1938（昭和13）年に「秋津書道院」、1946年に「しきなみ短歌会」を創設。さらに、長年にわたる宗教や道徳などの研究を土台に、自らの実践、体験を積み上げながら、人間生活のすじみちを研究し続け、それを「純粋倫理」と名づけた。その後、数多くの論文を発表し、純粋倫理を体系づける。1945年に倫理運動を興し、「新世文化研究所」（現・倫理研究所）を創立。自ら陣頭に立ち、一人でも多くの人の幸せを願い、教育や講演、執筆に身命を賭す。『万人幸福の未来』『無痛安産の書』『人類の朝光』など著書多数。1951年12月14日逝去。
倫理法人会、会の活動について,
,倫理法人会は、政治に対し不偏不党､公正・中立の立場をとっています。 一政党を支持したり､特定の政治団体とのつながりは一切ありません。 また、自ら政治活動を行ってもいません。政治はよりよい国家・社会をつくるうえでとても重要なことですから､政党と政治家をよく見極めて､各人の考えで一票を投じることが大切だと考えます。
,倫理法人会は宗教団体ではありません。宗教は人と神仏との関係を説き､「信仰」により人間の苦悩を救済しようとするものです。 一方､倫理(純粋倫理)は人と人､人とモノ､人と自然との関係を説き､それらのすべてが調和的に生きるために欠かせないルール(生活法則)です｡ 倫理と宗教は本質的に異なりますので､経典や教会､儀式や祈祷などは､ありません。 会員が各々の宗教を信じ､どのような神仏を礼拝するのも､自由です。
,主な活動【経営者モーニングセミナー】　朝型の生活習慣を体得するとともに、会員同士の交流・情報交換の場として、倫理法人会の活動の柱となっています。　【経営者の集い】　主に一般向けの内容で、具体的な体験談を通して、倫理経営についての学びを深めるための勉強会。　　【倫理経営講演会】　毎年1月から6月にかけて、全国同一テーマで開催します。 【早朝清掃】　毎月第一日曜、6：30より市内の和霊公園にある公衆トイレの清掃を行っています。:
,倫理研究所は、生涯学習を推進する会員によって構成される社会教育団体です。その会員で組織するのが倫理法人会です。倫理研究所は1948年、純粋倫理の提唱者である丸山敏雄によって創設されました。
,倫理研究所は、倫理の研究並びに実践・普及により、生活の改善、道義の昂揚、文化の発展を図り、もって民族の繁栄と人類の平和に資することを目的としています。
,倫理研究所は、以下の事業を行っています。社会教育事業、研究事業、出版・広報事業、文化事業、地球倫理推進事業
,
,
万人幸福の栞について,
,純粋倫理という生活法則のエッセンスを凝縮して、わかりやすい17カ条の標語にまとめたものが「万人幸福の栞」です。標語の中には古来から言われていたこともあれば、一見、常識からはなれたようなこともあります。しかし、どれもが実生活に欠かせないことであり、無条件にそのまま実行することで必ず新しいよい結果が現れます。
